summary,sentiment,keywords
" Automakers must build entire vehicles including all their parts in the U.S., President Trump says . Tesla CEO Elon Musk's last official day at the White House as a senior adviser . Trump administration this year imposed a 25% tariff on imported vehicles and auto parts .  Tesla builds its electric vehicles in the United States, but many of its key parts are imported . Industry has said the move will disrupt supply chains and raise car prices . Tesla did not immediately respond to a request for comment .",negative,"tesla, automakers, tariff, musk, car"
" President Trump said that despite his status of special government employee ending Friday, Musk is “really not leaving” Musk stood by Trump, sporting a bruise near his eye he said was from “horsing around” with his 5-year-old son .  The conference marked the end of one of the most turbulent periods in U.S. history . Musk spent hundreds of millions of dollars on Trump’s campaign . He powered an efficiency drive meant to cut $1 trillion from the federal budget by October 1 .  “This ends a dark chapter for Musk and Tesla,” Wedbush analyst Daniel Ives said . Tesla stock is set to end the month up more than 24% .",negative,"musk, tesla, trump, leaving, ends"
" Tesla CEO Elon Musk is set to leave his government role on Friday and turn his full focus back to Tesla . Musk reportedly abused drugs ""far more intensely than previously known"" while on the campaign trail for President Trump . Musk refused to answer a question on the report .  Tesla stock was still higher for the week and registered a 22.8% gain for the month of May . Musk also appeared to have a black eye near his right temple . ""I was horsing around with little X [Musk's son], and I said, 'Go ahead and punch me in the face,' and he did,"" Musk said .  Tesla reportedly will begin robotaxi testing in Austin, Texas, on June 12 . Elon Musk's SpaceX conducted a test of its Starship rocket and booster on Tuesday . Musk and Tesla have bet the future of the company on self-driving .  Yahoo Finance offers the latest financial and business news from Yahoo Finance . Follow us on Twitter @YahooFinance . Share your personal finance stories with us on CNN iReport .",negative,"tesla, musk, spacex, ceo, robotaxi"
" Dozens of legal challenges over Elon Musk's powerful role in the Trump administration will press ahead . Musk announced his departure earlier this week . At least three lawsuits are pending that accuse Trump of unconstitutionally handing Musk the equivalent of a cabinet-level post .  The larger collection of lawsuits challenging Musk and DOGE activities to date are certain to continue . They include fights over access to Americans’ personal information, whether the office is subject to public records laws . The White House has declined to comment on the administration's next steps in court .  Some legal experts say Musk’s formal exit could give the Justice Department grounds to argue for dismissal . A Justice Department spokesperson and Musk did not respond to requests for comment .  “Musk was a minion. responsible for communicating Trump’s “will” to Senate-confirmed officials who carried out the actions . “The lawsuits may have other things, they may challenge the substantive validity of the reduction of force or cancellation of contracts, but that had nothing to do with Musk”  A Washington federal judge this week denied the government’s request to dismiss the states’ case over Musk's appointment . Musk joined the administration as a “special government employee,” a temporary status set to expire this month .  Dozens more lawsuits have been filed that relate to DOGE’s activities . Judges have handed down a mix of rulings, in some cases greenlighting DOGEs’ access to agency records and allowing cuts to federal spending and the workforce . “While he may have left Washington, the havoc he has created has not,” a group says .  YouTube is Swallowing TV Whole, and it’s coming for the Sitcom Mark Zuckerberg Loves MAGA Now. Will MAGA Ever Love him Back? Millions of Americans are Obsessed with this Japanese Barbecue Sauce .",negative,"musk, lawsuits, court, unconstitutionally, federal"
" Elon Musk has a long history of overpromising and underdelivering . Musk's exit from DOGE seems like it’s meant to signal another big promise, one loaded with similarly inflated expectations . Tesla's shares are down 25% from a December high .  Whether he is actually leaving his position remains in dispute, but Musk’s tenure in Washington, D.C., was turbulent by any measure . Musk seemed to furtherenrich himselfandthwart his competitors through government channels .  Tesla CEO Elon Musk announced he is leaving the White House this week . His exit comes after a series of public clashes with President Donald Trump's policies .  At some point after the White House’s bizarreToyotathon for Tesla event, Musk seemed to stop spreading the conspiracy theory that paid protesters were fueling the Tesla Takedown . It's an indication Musk either recognizes that the backlash is legitimate, or, more likely, that his defensive denials of its authenticity were doing him no favors .  Tesla still has other challenges ahead, analyst says . The kind of reputational damage Musk has sustained in 2025 is not the kind that is easily laundered or naturally fades .  Musk may hope to revitalize his reputation in much the same way Trump has done since January 6, 2021, but he is ill-equipped for the task . Trump’s supporters are singularly willing to forgive and forget . Musk is about to find out how little overlap there is with Trump .  The electric car-buying community is the world's biggest electric car fan base . He says he has a lot of fans of the electric car and MAGA fans .",negative,"musk, tesla, ceo, 2025, donald"
" S&P 500 futures dipped 0.3% as investors braced for another round of tariff-driven volatility . U.S. Trade Representative hints Beijing may be throttling shipments of rare earths, essential to everything from EVs to fighter jets . Tesla (NASDAQ:TSLA) and other companies tied to Chinese supply chains .  Treasury Secretary Scott Bessent acknowledged that trade talks have stalled and floated the idea of a TrumpXi call to break the deadlock . With minerals, chips, and even student visas now in the spotlight, the risk is no longer just more tariffsit's a broader decoupling .",negative,"futures, tariffsit, tariff, risk, trumpxi"
" This was nothing if not a choppy, holiday-shortened week . Markets opened on Tuesday to the news that European tariffs of 50% were now on hold . The U.S. Court of International Trade ruled that Trump had overstepped his power in enacting his so-called Liberation Day tariffs .  For the past five days, stocks were up around 1%, most of the gain occuring Tuesday morning . For the entire week, the picture was a little rosier . Bonds, gold, and crude were all higher this week .  U.S. traders, including foreign, bought US debt this week . US debt credit default swaps have been on the rise . JP Morgan CEO Jamie Dimon agrees with him that the US is now being considered to be as risky as Italy and Greece .  Stocks opened lower after the president tweeted that China had ""totally violated its agreement with us"" 80% of S&P 500 stocks on the decline, but the index is well off the day's lows . Costco's shares are higher following yesterday's earnings and revenue report, which beat expectations .  S&P futures are down 33 points; Nasdaq is lower by 130 . Palantir is a stock favored by TheStreet Pro's Stephen ""Sarge"" Guilfoyle . Sarge reports that he's taken some profits in the company .  The PCE Index, short for inflation, is a measure of inflation . The index is the Federal Reserve's preferred benchmark for prices as it determines interest-rate policy . Nvidia drops 0.4% after being down as much 1.4%, but is now 0.3% lower .  The New York Times reports Musk used heavy amounts of drugs while on the campaign trail last fall with President Trump . His use of ketamine was so great that he suffered from bladder problems, a known effect of chronic use .",positive,"tariffs, stocks, traders, stock, nasdaq"
" Tesla shares slid about 3% Friday, but posted gains for the week and second straight month . CEO Elon Musk has said he is leaving his work with the Trump administration . Analysts are looking to next month's planned launch of paid fully autonomous rides in Austin, Texas, as an upcoming catalyst for the stock .  Trump said he expects Musk could be ""back and forth"" to continue his DOGE work . Analysts have beengetting more bullish on Teslain recent weeks despite sinking sales numbers .",negative,"tesla, teslain, musk, shares, stock"
" The reconciliation bill working its way through Congress would eliminate the electric vehicle tax credit created under the Inflation Reduction Act . The removal of the credit would likely lead to a drop in EV sales and production . The One Big Beautiful Bill Act was approved by the House on May 22 in a 215-214 vote .  The EV tax credit, which started during the Obama administration, is set to expire on Dec. 31, 2032 . The new provision ""accelerates the expiration to December 31, 2025"" Ending the clean vehicle tax credit would result in a sharp decrease in EV sales .  Tesla, Hyundai and Ford Motor Company did not immediately respond to FOX Business' request . ""You're going to see their production quantities drop dramatically,"" Fix said . Trump in January issued an executive order to ""eliminate the electric vehicle mandate""  Tesla is the only major U.S. electric car maker to receive a tax credit . The company has not responded to requests for comment from the public .",negative,"tesla, ev, tax, electric, ford"
" Despite weak quarterly earnings, Tesla TSLA has been riding higher on optimism over the launch of robotaxis and Musk’s promise to refocus on his business . According to a Bloomberg report, Tesla plans to launch its long-awaited robotaxi service in Austin, TX, on June 12 .  Elon Musk announced his departure from his advisory role in the Trump administration's Department of Government Efficiency (DOGE) This move signals Musk's renewed focus on Tesla amid recent challenges . Investors are optimistic that his full attention will drive innovation and address the company's recent hurdles .  The automaker's brand crisis was attributable to the automaker’s brand crisis amid waves of protests, boycotts and criminal acts . Revenues dropped 9% year over year to $19.3 billion and fell short of the Zacks Consensus Estimate of $20.98 billion . Simplify Volt TSLA Revolution ETF uses an active management strategy to capture the potential of Tesla's stock price movements .  The Nightview Fund charges 1.25% in annual fees and trades in an average daily volume of 2,000 shares . It holds 19 stocks in its basket, with Tesla occupying the top position at 22.2% of its assets . Consumer Discretionary Select Sector SPDR Fund is the largest and most popular product in this space, with AUM of $21.7 billion .  Vanguard Consumer Discretionary ETF charges investors 9 bps in annual fees, whereas volume is good at nearly 60,000 shares a day . The product has managed about $6 billion in its asset base and carries a Zacks ETF Rank #3 with a Medium risk outlook .  Tesla's robotaxi initiative is progressing more quickly than anticipated, with near-term testing and self-delivery milestones acting as catalysts . Tesla appears poised to solidify its position at the forefront of the next automotive revolution .",positive,"tesla, robotaxi, stock, robotaxis, automaker"
