summary,sentiment,keywords
" Tech led the day’s rally, and the Nasdaq closed up slightly over 1% . The S&P 500 rose 0.58% and the Dow Jones Industrial Average added 254 points, or 0.62% The surge was brought on by President Trump's announcement of a trade deal with the UK .  On Wednesday, Alphabet (GOOGL) shares fell 7% on reports that Apple may integrate AI tools such as ChatGPT and Perplexity into Safari . Apple shares initially fell 2% on the same news, but both companies gained on Thursday . AB InBev (BUD) kicked off the earnings day with a solid report with nearly 8% EBITDA growth .  Shopify reiterated its 2025 outlook and emphasized ongoing investments in premium products and digital platforms . Energy majors ConocoPhillips and Cheniere Energy also announced earnings today .",negative,"earnings, shares, nasdaq, ebitda, shopify"
" The CFPB has withdrawn its efforts to supervise Alphabet's Google Payment Corp, a spokesperson for Google said . The watchdog announced in December that it was ordering federal supervision of Alphabet's payment arm, a decision the company immediately said it was challenging in court . In December, the watchdog had determined services offered by Google Payment had posed a risk to consumers .  The CFPB had been more closely scrutinizing the growing sector of financial services provided by Silicon Valley rather than traditional banks . Google Payment had said the regulator had relied on a small number of unsubstantiated complaints concerning a product it no longer offered .",negative,"cfpb, banks, watchdog, financial, payment"
" Google is rolling out a feature in its Gemini API that will make its AI models cheaper for third-party developers . Google calls the feature ""implicit caching"" and says it can deliver 75% savings on ""repetitive context"" passed to models via the Gemini API . Caching is a widely adopted practice in the AI industry .  Google apologizes for Gemini 2.5 Pro's implicit caching, which is automatic by default for Gemini models . It passes on cost savings if a Gemini API request to a model hits a cache . The minimum prompt token count for implicit caching is 1,024 for 2.4 Flash and 2,048 for 2,5 Pro .  Google recommends developers keep repetitive context at the beginning of requests to increase the chances of implicit cache hits . Google didn't offer any third-party verification that the new implicit caching system would deliver the promised automatic savings .",neutral,"caching, cache, gemini, token, api"
" Alphabetsaw its share price rise by 3% over the last month . Announcement of significant increases in both dividend and share buyback plans likely improved investor sentiment . The resolution of a new U.S.-U.K. trade deal provided a lift to broader market sentiment .  Alphabet’s total return, including share price appreciation and dividends, reached 125.62% over the past five years . Over the past year, Alphabet's performance did not keep pace with the US Interactive Media and Services industry return of 1% .  Analysts estimate a 10.4% annual revenue growth over the next three years . As Alphabet continues to develop its AI capabilities, such initiatives are expected to bolster its market positioning, potentially lifting earnings forecasts like the projected rise to US$140.1 billion by April 2028 . Alphabet's current share price shows a substantial discount to the consensus analyst price target of US$202.12 .  Simply Wall St has no position in any stocks mentioned . Companies discussed in this article include NasdaqGS:GOOGL. Companies discussed include Google .",positive,"stocks, analysts, earnings, dividends, nasdaqgs"
" Apple's Eddy Cue recently testified that searches on Apple's Safari browser have dipped . Google has a $20 billion deal in place to be the default search engine for Safari, making Apple a critical partner in its search dominance . After Apple's comments, GOOGL stock dropped 7%, though it has since clawed back 1.5% in morning trading .  This article first appeared on GuruFocus.com as part of a broader market jitters.com . Read the full article here: Share your thoughts in the comments below .",negative,"safari, browser, searches, googl, google"
" Google is rolling out new AI-powered defenses to combat scams on Chrome . The tech giant will begin using Gemini Nano, its on-device large language model (LLM) on desktop to protect users against online scams . It's also launching new warnings for Chrome on Android to help users be aware of spammy notifications .  Google announces new AI-powered warnings on Chrome for Android devices . Chrome will help you be aware of malicious, spammy, or misleading notifications on Android . Google plans to expand this defense to Android devices and even more scams in the future .  Google has seen an increase in bad actors impersonating airline customer service agents and scamming people looking for help . The company says it has reduced these scams by over 80% .",neutral,"chrome, warnings, scamming, android, malicious"
" Apple Inc.’s silicon design group is working on new chips that will serve as the brains for future devices . The silicon team has become a critical piece of Apple's product development engine in recent years . Apple has made progress on the chip that it's developing for smart glasses, people with knowledge of the matter say .  The glasses processor is based on chips used in the Apple Watch that require less energy than the components in products like the iPhone, iPad and Mac . The chip has been customized to remove some parts in order to further improve power efficiency . The processor is also being designed to control the multiple cameras that are planned for the glasses .  Apple is working on smart glasses under the code name N401, a recent shift from the prior internal nomenclature of N50 . The social networking giant is rolling out a premium model with a display later this year . But Meta is moving aggressively itself and plans its first true AR glasses .  Apple has been working on adding cameras to its AirPods and smartwatches . The company is aiming to have those chips ready by around 2027 . Apple is also working on developing a chip called Nevis for the camera-equipped Apple Watch and a component named Glennie for the similarly outfitted .  Apple is working on several new Mac chips, including processors that will likely be known as the M6 (Komodo) and M7 (Borneo) There’s also another, more advanced Mac chip in development dubbed Sotra . The company is planning to bring the M5 processor to the iPad Pro and MacBook Pro as early as this year .  The semiconductors would make Apple’s AI services faster and more powerful, potentially helping it catch up in an area where it has struggled . Apple is also in charge of underlying components for a sensor and chip system that can noninvasively measure glucose levels .  Pre-Tariff car Buying Frenzy leaves Americans with a big debt problem . Wheelbarrows Promoted by Trump are now made in China .",neutral,"smartwatches, glasses, apple, devices, camera"
" Tech VCs and AI founders predict that major business functions will be reshaped, one by one, to be handled by AI agents . Tools like Cursor and Windsurf can complete software projects with minimal input or oversight from human .  Businesses are rushing to capitalize on the efficiency gains offered by AI coding . Microsoft CEO Satya Nadellarecently said AI now writes up to 30% of the company’s code . Google CEO Sundar Pichai echoed that sentiment .  OpenAI’s top model, o3, ranks as the 175th best competitive coder in the world on that same test . The rapid leap in performance suggests an AI coding assistant could soon claim the number-one spot .  Google DeepMind research scientist Nikolay Savinov says AI tools will soon support 10 million-token context windows . With that kind of memory, an AI tool could absorb vast amounts of human instruction .  Global consulting firm Accenture recently published research on what separates the winners from the rest of the pack . The firm emphasizes the importance of “thinking big” and securing executive buy-in . Accenture refers to companies that meet these criteria as “front runners”  Google is deploying some of its latest AI models to help protect users from scams . The Gemini Nano model is a lightweight AI that can run directly on a user’s device . It can recognize common scam tactics, Google says .  Google says it plans to use the on-device AI scam protection in the browser on mobile Android devices in the future . The model is capable of detecting novel scams it hasn’t encountered before . Google already uses AI to detect scams in other mobile apps .  Fast Company's Fast Company newsletter: http://www.fastcompany.com/newsletters . Visit the Fast Company blog for more information about Fast Company events .",positive,"ai, microsoft, deepmind, openai, software"
" Google will help support Elementl Power with an investment into the power producer’s development of three advanced nuclear sites . The tech giant will get the ""option for commercial off-take"" from the three projects after Elementl has constructed and begun generating power .  The two companies will team up to ""identify and advance"" new projects . The agreement comes approximately five months after Google signed a deal with another nuclear energy company . Google will purchase nuclear energy from ""multiple"" small modular reactors .  Microsoft unveiled a power purchase agreement with Constellation last year . That agreement will ""pave the way"" for Three Mile Island’s Unit 1 reactor to start back up in Pennsylvania . Amazon said it had entered three new agreements geared toward nuclear energy projects .  Google signs deal with nuclear developer for a trio of advanced energy projects . U.S. power came from nuclear energy last year, according to the Department of Energy .",positive,"nuclear, reactor, reactors, elementl, agreements"
 Apple exec Eddy Cue says Safari searches fell for the first time in 20 years in April . Apple's comments knocked nearly $200 billion off Google's market cap before today's rebound . Apple also signaled Apple is exploring AI-driven search options in Safari .  Investors will watch for query-growth metrics and new Search features unveiled at Google I/O in late May to gauge whether Google can maintain its lead . Google's forceful pushback underscores its confidence in Search's resilience .,negative,"safari, searches, search, google, apple"
